id,file,topic-00,topic-01,topic-02,topic-03,topic-04,topic-05,topic-06,topic-07,topic-08,topic-09,topic-10,topic-11,topic-12,topic-13,topic-14,topic-15,topic-16,topic-17,topic-18,topic-19
51,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/06-06-47-man_in_his_time.txt,0.127183304,3.51E-04,0.133224001,0.026136194,0.027569044,0.036547849,0.012364854,0.015253618,4.63E-04,0.008371559,0.199955208,0.001571741,0.364149061,0.001379963,0.001877028,0.010800675,0.018297339,0.004391853,0.010108047,4.55E-06
53,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/07-02-48-the_doctrine_of_providence_its_basis_and_form.txt,0.138879034,1.49E-05,0.096461795,2.04E-05,0.067114765,0.012550272,2.06E-05,0.005104277,0.013027793,0.013119864,0.25650654,0.073045066,0.004377307,0.007795787,0.009869856,0.006020931,0.013533137,1.58E-05,0.017199344,0.265322457
54,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/07-03-49-god_the_father_as_lord_of_his_creature.txt,0.196594029,3.84E-06,0.080917288,0.009942058,0.010842698,0.021001873,0.002602176,0.005649563,0.002131176,0.014237851,0.219455894,0.045721244,0.016686875,0.008295613,0.002069207,0.011208105,0.003677772,2.83E-04,0.046343426,0.302336236
55,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/07-04-50-god_and_nothingness.txt,0.237186097,0.004199832,0.09550406,6.87E-05,1.16E-05,0.016405538,0.277930575,0.068100328,0.00503355,0.016506631,0.173908438,0.037729614,0.011936855,0.003502495,0.001015172,1.30E-05,0.004154915,1.05E-05,9.01E-04,0.045880797
56,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/07-05-51-the_kingdom_of_heaven_the_ambassadors_of_god_and_their_opponents.txt,0.161756372,3.06E-05,0.079520964,0.003250212,0.051232262,0.006061373,0.010308865,0.007454062,0.008000649,0.009612311,0.239069857,0.01638425,0.0166219,0.019398975,0.013531084,0.324624227,0.006782595,4.93E-06,0.019835449,0.006519075
58,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/08-02-52-ethics_as_a_task_of_the_doctrine_of_creation.txt,0.187319922,0.253281189,0.250674852,2.80E-05,0.019277696,0.006331184,2.82E-05,0.016204891,0.013022039,0.003236193,0.1646754,0.01040831,0.007350236,0.02227625,0.003806741,2.69E-05,0.016788809,1.36E-04,0.004596899,0.020530805
59,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/08-03-53-freedom_before_god.txt,0.132033183,0.018530433,0.132673821,0.011494118,0.046485453,0.038272951,0.002411341,1.68E-05,0.013399116,0.257940687,0.195489382,0.014459348,0.013555122,0.03503113,0.014111145,8.70E-05,2.56E-05,0.009025867,0.052691336,0.012266097
60,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/08-04-54-freedom_in_fellowship.txt,0.178044065,0.294843259,0.087804523,0.011601634,0.015845025,0.012894741,0.006564429,0.01477388,6.45E-06,0.035205087,0.247648836,5.06E-05,0.018123714,0.007299286,0.003760006,0.001033946,0.002387095,0.041652419,0.020456548,4.49E-06
61,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/08-05-55-freedom_for_life.txt,0.176741157,0.019678467,0.094076705,0.006192947,0.004169223,0.02030111,0.017696464,0.020889505,2.24E-04,0.304215671,0.24243472,2.45E-04,0.027559108,0.004830075,8.21E-06,9.77E-04,0.003240094,0.004307657,0.052208941,4.15E-06
62,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/08-06-56-freedom_in_limitation.txt,0.150337174,0.02847154,0.166274539,0.001794375,0.010174481,0.013011012,0.00627568,0.003868741,8.01E-04,0.238020076,0.282543387,0.011259473,0.056451779,0.001017823,7.23E-04,0.003453711,0.004081406,9.21E-04,0.017897932,0.002622741
64,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/09-02-57-the_work_of_god_the_reconciler.txt,0.116032881,0.00468693,0.210868026,0.019785427,0.064297477,0.202064084,0.010669605,1.41E-05,0.001971236,4.38E-04,0.15760135,5.54E-04,0.029627752,3.27E-04,0.008311695,1.92E-04,0.038201883,0.00705537,0.013398596,0.113902271
65,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/09-03-58-the_doctrine_of_reconciliation_(survey).txt,0.120671664,7.78E-05,0.265085486,1.62E-05,1.39E-05,0.282915105,1.63E-05,1.57E-05,6.80E-04,0.001610034,0.124975347,0.01809934,0.015602903,0.011843514,0.001544592,0.007470139,0.074371677,0.016636856,0.041649822,0.016704106
66,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/09-04-59-the_obedience_of_the_son_of_god.txt,0.11430182,1.21E-04,0.160847903,0.0127549,0.005840475,0.312016036,0.00947391,0.001669544,7.06E-06,0.002235923,0.163804083,0.002141085,0.086725079,9.26E-04,0.032304417,0.033706413,0.034764025,0.002652713,0.020936479,0.002770348
67,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/09-05-60-the_pride_and_fall_of_man.txt,0.15083583,0.006783024,0.187302112,0.042361827,0.015535156,0.134402082,0.194650444,0.001722752,0.012935265,0.010707551,0.175637773,0.011049403,0.013084427,0.009967538,0.011108163,0.003553005,0.00164054,0.003408689,3.25E-04,0.01298984
68,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/09-06-61-the_justification_of_man.txt,0.115444913,6.56E-06,0.194791159,0.009509573,0.008297786,0.368709263,0.01710276,4.49E-04,0.016004289,0.011716361,0.173264062,0.002654257,0.027126771,0.018323637,0.005517438,8.66E-06,0.005515614,0.004115325,0.013071518,0.00837112
69,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/09-07-62-the_holy_spirit_and_the_gathering_of_the_christian_community.txt,0.12473803,8.94E-06,0.055799919,0.01272021,0.005864172,0.075225573,4.63E-04,0.002113251,0.004718001,0.00572386,0.197295206,0.005321276,0.047605564,0.091483624,0.016280851,0.002513379,0.037091358,9.50E-06,0.31501416,1.05E-05
70,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/09-08-63-the_holy_spirit_and_christian_faith.txt,0.129515873,1.52E-04,0.178280698,3.16E-05,2.71E-05,0.178702506,1.61E-04,0.00454486,0.091094345,0.009338443,0.1777827,4.63E-05,0.002001259,0.027797732,0.004696415,3.05E-05,0.101420358,2.45E-05,0.093422094,9.30E-04
72,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/10-02-64-the_exaltation_of_the_son_of_man.txt,0.11996052,5.24E-04,0.19470882,0.010175506,2.61E-06,0.098986739,0.001096081,0.008759476,1.62E-05,0.006140808,0.207714895,0.001407986,0.037938882,0.005533743,0.028299229,0.160203626,0.06230617,0.00703241,0.046345538,0.002846914
73,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/10-03-65-the_sloth_and_misery_of_man.txt,0.11776193,0.001902558,0.183941902,0.024649463,8.48E-06,0.063698811,0.214991209,0.014607862,1.21E-05,0.05179575,0.253752888,1.45E-05,0.022886037,1.42E-04,0.001307136,0.010171835,0.004490933,0.017509417,0.016346371,8.44E-06
74,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/10-04-66-the_sanctification_of_man.txt,0.087301889,0.014209339,0.140114672,0.009722906,2.94E-04,0.245824844,0.007233539,9.74E-06,3.80E-04,0.034583031,0.256797486,0.004503806,0.016345281,0.002225397,0.023074803,0.018864079,0.027643546,0.007720933,0.096653464,0.006497411
75,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/10-05-67-the_holy_spirit_and_the_upbuilding_of_the_christian_community.txt,0.137349907,0.00646719,0.041177136,0.002923532,9.33E-05,0.03076024,0.001783669,1.01E-05,1.27E-05,0.019987143,0.245991739,1.52E-05,0.026747017,0.030251828,0.003732818,0.011240466,0.015467851,0.002203456,0.423775905,8.84E-06
76,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/10-06-68-the_holy_spirit_and_christian_love.txt,0.12498564,0.003784665,0.187140358,0.025021176,0.007841824,0.056884958,0.003747621,0.001997678,1.20E-05,0.004787787,0.220348635,0.004428058,0.015448898,1.01E-04,1.36E-04,0.004661755,0.028445578,0.255370574,0.054689094,1.67E-04
78,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/11-02-69-the_glory_of_the_mediator.txt,0.160155404,1.24E-04,0.11785582,0.009917586,0.014341443,0.023383828,0.014584739,0.002444694,0.001002234,0.008058294,0.264184326,0.003269136,0.041754845,0.023828392,0.001880525,0.005762909,0.267218279,8.93E-04,0.037341744,0.001999169
79,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/11-03-70-the_falsehood_and_condemnation_of_man.txt,0.153738194,0.001352699,0.228400226,0.00513884,0.013460708,0.06312173,0.176019714,1.78E-04,1.27E-05,0.016285412,0.239924224,7.72E-04,0.027640097,0.001661729,1.44E-04,9.93E-06,0.063070946,0.004547993,0.003755987,7.65E-04
80,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/11-04-71-the_vocation_of_man.txt,0.128278569,2.81E-05,0.097295312,0.018068876,6.24E-04,0.050728148,0.008858911,5.68E-06,0.002910579,0.016930366,0.296420394,0.001864826,0.025952629,0.003011221,0.014812493,0.010476947,0.142466289,0.007953209,0.17011976,0.003193978
81,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/11-05-72-the_holy_spirit_and_the_sending_of_the_christian_community.txt,0.15918625,4.07E-06,0.101773876,0.01395531,0.012475339,0.012961459,0.008675845,0.004329163,0.006082834,0.016621469,0.277138529,0.001601125,0.0169881,0.013006017,0.001238265,0.002554102,0.059402716,0.00385017,0.278752169,0.009403194
