,id,file,topic-00,topic-01,topic-02,topic-03,topic-04,topic-05,topic-06,topic-07,topic-08,topic-09,topic-10,topic-11,topic-12,topic-13,topic-14,topic-15,topic-16,topic-17,topic-18,topic-19,para_nums,titles
39,43,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/05-02-40-faith_in_god_the_creator.txt,0.12303564300000001,1.92e-05,0.07845108,0.014891492,0.192083576,0.052520214,0.0005650000000000001,0.01984579,0.050659826,0.000259,0.168625871,0.08136565700000001,0.004579817,0.013198673999999999,0.130598603,0.028786109,0.011241863000000001,2.05e-05,0.011994311,0.017257412,40,faith_in_god_the_creator.txt
40,44,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/05-03-41-creation_and_covenant.txt,0.109489806,0.004145973,0.125381445,0.008726461,0.426174575,0.014531935,0.004190581,0.01237544,0.0016471889999999999,0.006024695,0.189932878,0.020285948,0.037239732000000005,8.04e-05,0.02243839,0.007926729,0.001284649,0.005163807,0.00079,0.002169229,41,creation_and_covenant.txt
41,45,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/05-04-42-the_yes_of_god_the_creator.txt,0.277591298,0.003685951,0.056319802,0.002218825,0.028163022000000003,0.024190327999999997,0.027744781,0.24865335800000002,0.021339891,0.014359911999999999,0.205490576,0.042719533,0.015888894,0.002653957,2.17e-05,6.49e-05,0.0072672019999999995,0.003739065,7.09e-05,0.017816076,42,the_yes_of_god_the_creator.txt
42,47,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/06-02-43-man_as_a_problem_of_dogmatics.txt,0.216757648,1.64e-05,0.283448578,0.00956159,0.046614047,0.037841925,0.037903842,0.12054457,0.020848508,3.72e-05,0.146795555,3.289999999999999e-05,0.0030742259999999998,0.029399651000000002,0.004532324,0.032124357,0.0025098779999999997,0.000843,0.000858,0.0062563,43,man_as_a_problem_of_dogmatics.txt
43,48,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/06-03-44-man_as_the_creature_of_god.txt,0.190211876,0.006302016999999999,0.331142406,0.000136,0.011346473999999999,0.004836955,0.0009400000000000001,0.168240306,0.014079922,0.016653192,0.189191539,0.018418505,0.004899428,0.002265697,0.013312566999999999,0.002384753,0.005472748,0.002736631,1.12e-05,0.017417857,44,man_as_the_creature_of_god.txt
44,49,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/06-04-45-man_in_his_determination_as_the_covenant-partner_of_god.txt,0.13349755800000002,0.01888707,0.23736142600000001,0.007749253,0.032491344,0.022733187999999998,0.011071903000000001,0.022172906000000003,1.18e-05,0.011078103999999998,0.252338015,1.4000000000000001e-05,0.019330266999999998,0.000138,9.44e-05,9.23e-06,0.006033965,0.197525167,0.027454276,8.18e-06,45,man_in_his_determination_as_the_covenant
45,50,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/06-05-46-man_as_soul_and_body.txt,0.152997787,0.003638342,0.140472052,0.008509217,0.002642013,0.014747186,0.0031223270000000003,0.39194085799999995,0.0006900000000000001,0.011747793999999999,0.188202073,0.00424409,0.021608369,0.003013907,0.017414396999999998,0.011102573999999999,0.005760615,0.003558985,0.014578686,8.36e-06,46,man_as_soul_and_body.txt
46,51,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/06-06-47-man_in_his_time.txt,0.127183304,0.00035099999999999997,0.133224001,0.026136193999999998,0.027569043999999997,0.036547849,0.012364854,0.015253618,0.000463,0.008371559,0.199955208,0.001571741,0.364149061,0.001379963,0.001877028,0.010800675,0.018297339,0.004391853,0.010108047,4.55e-06,47,man_in_his_time.txt
47,53,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/07-02-48-the_doctrine_of_providence_its_basis_and_form.txt,0.138879034,1.49e-05,0.096461795,2.0399999999999998e-05,0.067114765,0.012550272,2.0600000000000003e-05,0.005104277,0.013027793000000001,0.013119863999999998,0.25650654,0.07304506599999999,0.004377307,0.007795786999999999,0.009869856,0.006020931,0.013533136999999999,1.58e-05,0.017199344,0.265322457,48,the_doctrine_of_providence_its_basis_and_form.txt
48,54,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/07-03-49-god_the_father_as_lord_of_his_creature.txt,0.19659402899999998,3.84e-06,0.080917288,0.009942058,0.010842698000000001,0.021001872999999997,0.002602176,0.005649563000000001,0.0021311760000000003,0.014237851000000001,0.21945589399999998,0.045721244,0.016686875,0.008295613,0.002069207,0.011208105,0.003677772,0.000283,0.04634342599999999,0.30233623600000004,49,god_the_father_as_lord_of_his_creature.txt
49,55,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/07-04-50-god_and_nothingness.txt,0.23718609699999998,0.004199832,0.09550406,6.87e-05,1.1599999999999999e-05,0.016405538,0.277930575,0.068100328,0.00503355,0.016506631,0.173908438,0.037729614,0.011936855,0.003502495,0.001015172,1.3000000000000001e-05,0.004154915,1.05e-05,0.000901,0.045880797,50,god_and_nothingness.txt
50,56,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/07-05-51-the_kingdom_of_heaven_the_ambassadors_of_god_and_their_opponents.txt,0.16175637199999998,3.06e-05,0.079520964,0.003250212,0.051232262,0.006061373,0.010308865,0.007454061999999999,0.008000649,0.009612311,0.239069857,0.01638425,0.016621900000000002,0.019398975,0.013531083999999999,0.324624227,0.006782595,4.93e-06,0.019835448999999998,0.006519075,51,the_kingdom_of_heaven_the_ambassadors_of_god_and_their_opponents.txt
